街道ID,平均行程车速（km/h）,时间,时间片（一个时间片为5分钟）,交通指数,通过样本总行程时间(s),通过样本总行驶长度(m)
44,5.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,4.877E+003,7.0676E+004
43,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.0622E+004,1.41559E+005
42,3.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,7.439E+003,7.8131E+004
41,3.3E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,6.452E+003,5.8739E+004
40,4.9E+001,"	2018-03-01 00:00:00.000000",11,0,3.498E+004,4.71387E+005
39,4.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.6726E+004,4.22314E+005
38,5.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.945E+004,2.77313E+005
37,5.4E+001,"	2018-03-01 00:00:00.000000",11,0,1.3345E+004,1.98564E+005
36,5.4E+001,"	2018-03-01 00:00:00.000000",11,0,1.8089E+004,2.71313E+005
35,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.058E+004,1.417E+005
34,5.5E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,6.876E+003,1.05213E+005
33,4.6E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,4.272E+003,5.4307E+004
32,5.6E+001,"	2018-03-01 00:00:00.000000",11,0,1.815E+003,2.8204E+004
31,7.0E+001,"	2018-03-01 00:00:00.000000",11,0,1.064E+003,2.0632E+004
30,4.6E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.3E+003,1.6634E+004
29,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.329E+003,4.4015E+004
28,5.8E+001,"	2018-03-01 00:00:00.000000",11,0,1.8202E+004,2.94311E+005
27,3.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.7144E+004,1.54357E+005
26,3.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,5.883E+003,5.0056E+004
25,3.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.2014E+004,1.03131E+005
24,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,2.5977E+004,3.28426E+005
23,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,2.8913E+004,3.67121E+005
22,5.0E+001,"	2018-03-01 00:00:00.000000",11,0,2.0759E+004,2.87652E+005
21,5.1E+001,"	2018-03-01 00:00:00.000000",11,0,3.7746E+004,5.38356E+005
74,7.2E+001,"	2018-03-01 00:00:00.000000",11,0,3.111E+003,6.2641E+004
73,6.1E+001,"	2018-03-01 00:00:00.000000",11,0,8.34E+002,1.4045E+004
71,4.4E+001,"	2018-03-01 00:00:00.000000",11,0,3.8617E+004,4.70566E+005
70,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,1.7939E+004,2.31218E+005
69,3.7E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,7.93E+003,8.2248E+004
68,3.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.7535E+004,2.4639E+005
67,5.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.0356E+004,1.66637E+005
66,5.0E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,8.85E+003,1.24132E+005
65,2.9E+001,"	2018-03-01 00:00:00.000000",11,5.0E+000,4.12E+002,3.281E+003
64,2.9E+001,"	2018-03-01 00:00:00.000000",11,3.0E+000,1.371E+003,1.0912E+004
63,5.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.379E+003,3.4045E+004
62,5.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.504E+003,4.9117E+004
17,3.6E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.6566E+004,2.63216E+005
16,5.7E+001,"	2018-03-01 00:00:00.000000",11,0,7.732E+003,1.2146E+005
15,4.7E+001,"	2018-03-01 00:00:00.000000",11,0,1.6253E+004,2.13321E+005
14,4.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.6876E+004,3.09523E+005
13,3.0E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,4.5808E+004,3.8622E+005
12,4.4E+001,"	2018-03-01 00:00:00.000000",11,0,5.3E+003,6.4229E+004
11,5.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.1948E+004,1.69412E+005
10,4.4E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.4414E+004,1.76678E+005
9,4.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.3232E+004,1.46577E+005
8,3.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.2679E+004,1.04495E+005
17,3.6E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.6668E+004,2.63837E+005
16,4.7E+001,"	2018-03-01 00:00:00.000000",10,0,8.695E+003,1.13825E+005
15,4.7E+001,"	2018-03-01 00:00:00.000000",10,0,1.8117E+004,2.34667E+005
14,4.3E+001,"	2018-03-01 00:00:00.000000",10,0,2.5437E+004,3.06655E+005
13,3.4E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,4.3265E+004,4.06724E+005
12,4.2E+001,"	2018-03-01 00:00:00.000000",10,0,5.284E+003,6.1475E+004
11,5.3E+001,"	2018-03-01 00:00:00.000000",10,0,1.386E+004,2.03143E+005
10,4.2E+001,"	2018-03-01 00:00:00.000000",10,0,1.1924E+004,1.39571E+005
9,4.2E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,1.3399E+004,1.56242E+005
8,2.8E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.4437E+004,1.13596E+005
7,5.3E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.7949E+004,4.11327E+005
6,4.5E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.2549E+004,2.79274E+005
74,6.4E+001,"	2018-03-01 00:00:00.000000",10,0,2.932E+003,5.2009E+004
73,4.5E+001,"	2018-03-01 00:00:00.000000",10,0,8.64E+002,1.0915E+004
